Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
MSTR,157.15,Put,350,2026-01-16T16:30:00-06:00,18,"192.40 x 5","193.40 x 5",192.9,6000,mid,115740000,16350,1092,153.64%,-0.9910925298,SLFT,N/A,"15:28:09 ET",M
MSTR,156.98,Put,350,2026-01-16T16:30:00-06:00,18,"192.40 x 5","193.40 x 5",192.4,4580,bid,88119200,6050,1092,0.00%,0,MLFT,SellToOpen,"15:17:13 ET",M
MSTR,157.1875,Put,350,2026-01-16T16:30:00-06:00,18,"192.30 x 5","193.40 x 5",192.85,4300,mid,82925500,10350,1092,151.98%,-0.9917457105,MFSL,N/A,"15:24:27 ET",M
MSTR,156.98,Put,350,2026-02-20T16:30:00-06:00,53,"192.25 x 1","193.50 x 2",193.5,3965,ask,76722700,4526,905,114.15%,-0.9597240726,MLFT,BuyToOpen,"15:17:13 ET",M
MSTR,157.15,Put,300,2026-01-16T16:30:00-06:00,18,"142.45 x 5","143.40 x 5",142.95,5325,mid,76120800,13605,1042,132.19%,-0.9852083364,SLFT,N/A,"15:28:09 ET",M
MSTR,156.98,Put,300,2026-01-16T16:30:00-06:00,18,"142.25 x 5","143.40 x 5",142.25,4770,bid,67853200,5300,1042,0.00%,0,MLFT,SellToOpen,"15:17:13 ET",M
MSTR,157.1875,Put,375,2026-01-16T16:30:00-06:00,18,"217.30 x 5","218.35 x 5",217.79,2350,mid,51180600,4510,478,158.49%,-0.9956432879,MFSL,N/A,"15:24:27 ET",M
MSTR,157.1875,Put,420,2026-01-16T16:30:00-06:00,18,"262.35 x 6","263.35 x 6",262.85,1860,mid,48890100,3330,318,182.67%,-0.9921205782,MFSL,ToOpen,"15:24:27 ET",M
MSTR,156.98,Put,375,2026-01-16T16:30:00-06:00,18,"217.40 x 5","218.40 x 5",217.4,2160,bid,46958400,2160,478,0.00%,0,MLFT,SellToOpen,"15:17:13 ET",M
EXPE,286.06,Call,200,2026-01-23T16:30:00-06:00,25,"85.45 x 2","88.75 x 6",86.4,5100,mid,44064000,5100,5100,75.83%,0.97176781752092,MLAT,N/A,"12:20:15 ET",W
MSTR,157.1875,Put,350,2026-02-20T16:30:00-06:00,53,"192.20 x 1","193.45 x 1",192.85,2250,mid,43391200,6776,905,100.28%,-0.9885619398,MFSL,N/A,"15:24:39 ET",M
MSTR,157.1875,Put,300,2026-01-16T16:30:00-06:00,18,"142.35 x 6","143.40 x 5",142.87,2980,mid,42575200,8280,1042,128.12%,-0.9893047329,MFSL,N/A,"15:23:53 ET",M
MSTR,157.15,Put,420,2026-01-16T16:30:00-06:00,18,"262.40 x 6","263.40 x 5",262.85,1550,mid,40741700,4880,318,0.00%,-1.,SLFT,N/A,"15:28:05 ET",M
MSTR,157.1875,Put,380,2026-01-16T16:30:00-06:00,18,"222.40 x 5","223.35 x 5",222.87,1820,mid,40562300,3440,353,168.46%,-0.9909521229,MFSL,N/A,"15:24:27 ET",M
BTI,57.166,Call,37,2027-01-15T16:30:00-06:00,382,"20.00 x 71","20.30 x 70",20,19980,bid,39960000,98120,4017,31.05%,0.97050705804491,MLFT,N/A,"15:46:11 ET",M
