Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
MSTR,156.32,Put,350,2026-01-16T16:30:00-06:00,17,"193.40 x 5","194.50 x 5",194.5,7940,ask,154433000,9290,1092,198.32%,-0.9552795738,MLFT,BuyToOpen,"15:46:50 ET"
MSTR,156.257,Put,300,2026-01-16T16:30:00-06:00,17,"142.55 x 38","144.60 x 83",143.6,10500,mid,150780000,18098,1042,123.79%,-0.9962594753,SLFT,ToOpen,"15:51:01 ET"
MSTR,156.257,Put,350,2026-01-16T16:30:00-06:00,17,"192.65 x 5","194.55 x 61",193.7,6200,mid,120094000,20290,1092,149.93%,-0.9964730806,SLFT,N/A,"15:51:01 ET"
MSTR,156.32,Put,300,2026-01-16T16:30:00-06:00,17,"143.35 x 5","144.45 x 5",143.35,7320,bid,104932200,7598,1042,137.95%,-0.984129151,MLFT,SellToOpen,"15:46:25 ET"
MSTR,156.15,Put,350,2026-02-20T16:30:00-06:00,52,"193.25 x 2","194.40 x 2",193.25,5420,bid,104741500,5420,902,105.28%,-0.980234477,MLFT,SellToOpen,"15:45:00 ET"
MSTR,156.15,Put,400,2026-03-20T16:30:00-05:00,80,"243.20 x 2","244.55 x 2",243.2,3780,bid,91929600,3780,489,100.39%,-0.9862286039,MLFT,SellToOpen,"15:45:00 ET"
MSTR,156.15,Put,420,2026-01-16T16:30:00-06:00,17,"263.35 x 1","264.45 x 2",264.21,3380,mid,89302900,3448,318,214.35%,-0.9757238453,MLFT,ToOpen,"15:45:04 ET"
MSTR,156.257,Put,350,2026-01-16T16:30:00-06:00,17,"192.65 x 5","194.55 x 5",193.55,4600,mid,89033000,20290,1092,149.93%,-0.9964730806,SLFT,N/A,"15:50:50 ET"
MSTR,156.15,Put,320,2026-02-20T16:30:00-06:00,52,"163.30 x 1","164.45 x 2",164.45,5410,ask,88967400,8543,1565,107.33%,-0.9525998273,MLFT,BuyToOpen,"15:45:04 ET"
COIN,232.61,Put,320,2026-01-16T16:30:00-06:00,17,"85.80 x 297","89.25 x 255",87.38,9670,mid,84496400,9688,1581,73.82%,-0.9790199636,MLFT,ToOpen,"15:35:56 ET"
MSTR,156.257,Put,375,2026-01-16T16:30:00-06:00,17,"217.65 x 5","219.55 x 5",218.5,3850,mid,84122500,7060,385,161.58%,-0.9965286023,SLFT,ToOpen,"15:50:50 ET"
COIN,232.61,Put,310,2026-01-16T16:30:00-06:00,17,"76.50 x 265","79.30 x 250",79.3,10340,ask,81996200,14693,1652,97.65%,-0.8970700215,MLFT,BuyToOpen,"15:35:56 ET"
MSTR,156.257,Put,420,2026-01-16T16:30:00-06:00,17,"262.65 x 5","264.60 x 77",263.7,3100,mid,81747000,6548,318,0.00%,0,SLFT,N/A,"15:50:50 ET"
MSTR,156.257,Put,380,2026-01-16T16:30:00-06:00,17,"222.60 x 5","224.60 x 72",223.65,3500,mid,78277500,6430,353,0.00%,0,SLFT,ToOpen,"15:50:50 ET"
BABA,147.71,Put,190,2026-01-16T16:30:00-06:00,17,"41.75 x 290","43.55 x 276",42.35,17675,mid,74853600,27200,2588,58.45%,-0.975697131,SLFT,ToOpen,"14:32:34 ET"
MSTR,156.32,Put,375,2026-01-16T16:30:00-06:00,17,"218.25 x 5","219.40 x 5",218.3,3210,mid,70074300,3210,385,185.38%,-0.9810497853,MLFT,ToOpen,"15:46:50 ET"
COIN,233.21,Put,350,2026-01-16T16:30:00-06:00,17,"112.90 x 239","120.10 x 152",115.65,5750,mid,66498700,5751,575,0.00%,0,SLFT,ToOpen,"14:32:41 ET"
MSTR,156.32,Put,380,2026-01-16T16:30:00-06:00,17,"223.35 x 5","224.50 x 5",224.5,2930,ask,65778500,2930,353,214.26%,-0.9575013257,MLFT,BuyToOpen,"15:46:50 ET"
COIN,232.61,Put,330,2026-01-16T16:30:00-06:00,17,"95.90 x 280","99.50 x 227",99.5,6420,ask,63879000,6422,751,115.07%,-0.90177854,MLFT,BuyToOpen,"15:35:56 ET"
COIN,232.61,Put,350,2026-01-16T16:30:00-06:00,17,"113.40 x 272","121.25 x 188",121.24,4800,mid,58195200,10551,575,147.45%,-0.8704691144,MLFT,N/A,"15:35:56 ET"
MSTR,156.15,Put,500,2026-06-18T16:30:00-05:00,170,"342.10 x 59","344.95 x 57",344.95,1680,ask,57951600,1680,150,106.01%,-0.929140169,MLFT,BuyToOpen,"15:45:00 ET"
LULU,211.4,Put,350,2026-01-16T16:30:00-06:00,17,"135.65 x 30","140.30 x 30",138.05,4000,mid,55220000,4000,355,0.00%,0,SLFT,ToOpen,"14:33:36 ET"
COIN,233.21,Put,370,2026-01-16T16:30:00-06:00,17,"132.80 x 202","138.50 x 149",135.7,4000,mid,54280000,4000,379,0.00%,0,SLFT,ToOpen,"14:32:41 ET"
MSTR,156.15,Put,380,2026-02-20T16:30:00-06:00,52,"222.20 x 127","224.65 x 6",224.51,2360,mid,52984300,2360,154,128.92%,-0.9542789035,MLFT,ToOpen,"15:45:00 ET"
MSTR,156.15,Put,390,2026-03-20T16:30:00-05:00,80,"232.20 x 53","234.75 x 6",234.75,2240,ask,52584000,2240,306,114.25%,-0.9418181256,MLFT,BuyToOpen,"15:45:00 ET"
META,666.56,Put,730,2026-01-16T16:30:00-06:00,17,"61.80 x 135","65.15 x 89",65.15,8050,ask,52445700,8939,928,33.03%,-0.8959299046,MLFT,BuyToOpen,"15:42:50 ET"
BABA,147.78,Put,175,2026-01-16T16:30:00-06:00,17,"26.95 x 290","28.25 x 486",26.95,19260,bid,51905700,19324,6300,50.47%,-0.9338731808,MLFT,SellToOpen,"15:37:49 ET"
MSTR,156.15,Put,320,2026-02-20T16:30:00-06:00,52,"163.30 x 1","164.45 x 2",164.44,3120,mid,51305200,8543,1565,107.33%,-0.9525998273,MLFT,N/A,"15:45:04 ET"
MSTR,156.257,Put,320,2026-01-16T16:30:00-06:00,17,"162.60 x 5","164.50 x 5",163.45,2950,mid,48217700,5140,293,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
CRWV,74.78,Put,150,2026-01-16T16:30:00-06:00,17,"74.45 x 576","75.60 x 419",75.03,6000,mid,45018000,9200,763,0.00%,0,MLFT,ToOpen,"14:33:47 ET"
COIN,233.21,Put,340,2026-01-16T16:30:00-06:00,17,"105.40 x 225","108.30 x 236",105.5,4250,mid,44837500,4252,427,86.01%,-0.9796087874,SLFT,ToOpen,"14:32:41 ET"
